시설종류,실내/실외,종목,주소,이름
스포츠,실외,야구장,광주 광산구 산월동 56,첨단종합운동장 야구장
스포츠,실내,체육관,광주 광산구 우산동 1577-1,빛고을국민체육센터
스포츠,실내,수영장,광주 광산구 월계동 864-1,남부대시립국제수영장
스포츠,실외,축구장,광주 광산구 소촌동 232-2,공무원교육원 축구장
스포츠,실외,축구장,광주 광산구 우산동 594,풍영체육시설 축구장
스포츠,실외,테니스장,광주 광산구 소촌동 232-2,공무원교육원 테니스장
스포츠,실내,체육관,광주 광산구 소촌동 232-2,공무원교육원 다목적구장
문화,실내,미술관,광주 동구 성촌길 6,드영미술관
문화,실내,미술관,광주 남구 제중로47번길 10,이이남 스튜디오
문화,실내,미술관,광주 북구 하서로 52,광주시립미술관
문화,실내,미술관,광주 광산구 소촌로85번길 14-9,소촌아트팩토리
문화,실내,미술관,광주 동구 천변우로 369,광주여성전시관 Herstory
문화,실내,미술관,광주 동구 의재로 82,국윤미술관
문화,실내,미술관,광주 동구 독립로 268,롯데갤러리 광주점
문화,실내,미술관,광주 동구 예술길 18-1,무등갤러리
문화,실내,미술관,광주 동구 증심사길 9,무등현대미술관
문화,실내,미술관,광주 북구 우치로 77,북구청갤러리
문화,실내,미술관,광주 서구 무진대로 932,신세계갤러리
문화,실내,미술관,광주 남구 양림동 108-1,양림미술관
문화,실내,미술관,광주 동구 의재로 140-6,우제길 미술관
문화,실내,미술관,광주 서구 무진대로 904,유ㆍ스퀘어문화관 금호갤러리
문화,실내,미술관,광주 동구 서석로85번길 8-12,은암미술관
문화,실내,미술관,광주 동구 증심사길 155,의재미술관
문화,실내,미술관,광주 북구 일곡로 55,일곡갤러리
문화,실내,미술관,광주 북구 향토문화로 65,자미갤러리
문화,실내,미술관,광주 동구 필문대로 309,조선대미술관
문화,실내,미술관,광주 서구 상무대로 1165,하정웅미술관
문화,실내,미술관,광주 남구 양촌길 27-6,한희원미술관
문화,실내,박물관,광주 북구 풍암제길 14,분청사기전시실
문화,실내,박물관,광주 남구 제중로 64,오방 최흥종 기념관
문화,실내,박물관,광주 북구 서하로 48-25,광주광역시역사민속박물관
문화,실내,박물관,광주 북구 풍향동 1-1,광주교육대학교 교육박물관
문화,실내,박물관,광주 북구 하서로 110,국립광주박물관
문화,실내,박물관,광주 동구 천변우로 599,백범기념관
문화,실내,박물관,광주 동구 제봉로 143-1,비움박물관
문화,실내,박물관,광주 북구 용봉동 300,전남대학교 박물관
문화,실내,박물관,광주 북구 용봉로 116,한국미용박물관
문화,실내,공연장,광주광역시 남구 천변좌로338번길 7,미디어놀이터
문화,실내,공연장,광주광역시 남구 천변좌로338번길 7,홀로그램 극장
문화,실내,공연장,광주 동구 문화전당로 38,국립아시아문화전당
문화,실내,공연장,광주 서구 무진대로 904,유ㆍ스퀘어문화관 금호아트홀
문화,실내,공연장,광주 남구 봉선로 208,광주남구문화예술회관
문화,실내,공연장,광주 북구 북문대로 60,광주문화예술회관
문화,실내,공연장,광주 동구 예술길 18-1,궁동예술극장
문화,실내,공연장,광주 서구 상무누리로 30,김대중컨벤션센터
문화,실내,공연장,광주 동구 중흥로209번길 8,문예정터 극단 진달래피네
문화,실내,공연장,광주 서구 풍금로 182,빛고을국악전수관
문화,실내,공연장,광주 남구 구동 12,빛고을시민문화관
문화,실내,공연장,광주 서구 마재로 3,서구문화센터
문화,실내,공연장,광주 서구 무진대로 904,유ㆍ스퀘어문화관 동산아트홀
관광,실내,전통문화,광주광역시 동구 의재로 222,광주전통문화관
관광,실내,전통문화,광주 광산구 광곡길 133,월봉서원 체험
관광,실내,전통문화,광주 북구 담안평무길 77,평촌도예공방
관광,실내,전통문화,광주 남구 고싸움로 2,고싸움놀이 테마파크
관광,실내,전통문화,광주 남구 압촌4길 11,광주도예문화센터
관광,실내,전통문화,광주 남구 중앙로95번안길 7-8,광주향교 체험
관광,실내,전통문화,광주 남구 포충로 937,빛고을공예창작촌
관광,실내,전통문화,광주 동구 증심사길 177,증심사 템플스테이
관광,실내,전통문화,광주 동구 동명동 200-196,청공소리 한옥체험장
관광,실내,5.18운동,광주 동구 중앙로 302,4·19혁명기념관
관광,실내,5.18운동,광주광역시 동구 금남로 221,5·18민주화운동기록관
관광,실내,5.18운동,광주 동구 금남로 245,전일빌딩245
관광,실외,5.18운동,광주 서구 내방로 152,5·18기념공원
관광,실외,5.18운동,광주 동구 문화전당로 38,5·18민주광장
관광,실외,5.18운동,광주 서구 상무평화로 13,5·18자유공원
관광,실내,5.18운동,광주 서구 화정동 512,광주학생독립운동기념관
관광,실외,5.18운동,광주광역시 서구 학생독립로 30,광주학생독립운동기념탑
관광,실내,종교,광주광역시 남구 백서로 13,광주 구 수피아여학교 커티스메모리얼홀
관광,실내,종교,광주광역시 북구 금재로 76,광주 북동천주교회
관광,실내,종교,광주광역시 동구 증심사길160번길 89,약사암
관광,실내,종교,광주광역시 남구 백서로70번길 6,오웬기념각
관광,실내,종교,광주광역시 남구 제중로47번길 20,우일선 선교사사택
