연번,구분,시설명,주소,설치시설물,등록,데이터기준일자
139,동네체육시설,소촌동어린이공원 동네체육시설,광주광역시 광산구 소촌동20-1번지,동네체육시설,2014-12-09,2021-06-16
140,동네체육시설,송정공원(금봉산) 동네체육시설,광주광역시 광산구 신촌동산95-1 (금봉산),동네체육시설,1990-10-22,2021-06-16
141,동네체육시설,어룡동 소촌마을 동네체육시설,광주광역시 광산구 소촌동 461-3,동네체육시설,2016-01-19,2021-06-16
142,동네체육시설,어룡동 소촌마을 동네체육시설,광주광역시 광산구 소촌동 461-3,동네체육시설,2019-07-18,2021-06-16
143,동네체육시설,도산역 동네체육시설,광주광역시 광산구 도산동 1023-3,동네체육시설,2018-01-29,2021-06-16
144,동네체육시설,도산동 원도산 동네체육시설,광주광역시 광산구 도산동 1060-3,동네체육시설,2015-10-13,2021-06-16
145,동네체육시설,"도산동 동네체육시설1(공원1), 도루메공원 동네체육시설","광주광역시 광산구 도산동 1287-5(1공원), 도산동 1287-5",동네체육시설,2001-03-28,2021-06-16
146,동네체육시설,도산동 동네체육시설2(공원2),광주광역시 광산구 도산동 1296-1(2공원),동네체육시설,2011-10-01,2021-06-16
147,동네체육시설,원도산마을 동네체육시설,광주광역시 광산구 도산동 682-3,동네체육시설,2014-07-01,2021-06-16
148,동네체육시설,송정동 송도로212번길,광주광역시 광산구 송정동 215-6,동네체육시설,2016-10-28,2021-06-16
149,동네체육시설,용보모정 동네체육시설,광주광역시 광산구 송정동 276-2(용보모정 앞),동네체육시설,2009-06-24,2021-06-16
150,동네체육시설,송정1동(공항로) 동네체육시설,광주광역시 광산구 송정동74-21번지선(공항로변),동네체육시설,2007-01-01,2021-06-16
151,동네체육시설,송정1동(공항로) 동네체육시설,광주광역시 광산구 송정동74-21번지선(공항로변),동네체육시설,2008-11-18,2021-06-16
152,동네체육시설,송정1동(공항로) 동네체육시설,광주광역시 광산구 송정동74-21번지선(공항로변),동네체육시설,2010-04-13,2021-06-16
153,동네체육시설,송정1동(공항로) 동네체육시설,광주광역시 광산구 송정동74-21번지선(공항로변),동네체육시설,2015-07-21,2021-06-16
154,동네체육시설,송정1동(공항로) 동네체육시설,광주광역시 광산구 송정동74-21번지선(공항로변),동네체육시설,2019-06-07,2021-06-16
155,동네체육시설,상전마을 동네체육시설,광주광역시 광산구 송정1동 554-1,동네체육시설,2011-12-29,2021-06-16
156,동네체육시설,송정 공영주차장 동네체육시설,광주광역시 광산구 송정동  805-4,동네체육시설,2016-03-08,2021-06-16
157,동네체육시설,송정중 동네체육시설,광주광역시 광산구 송정동 785,동네체육시설,2016-01-18,2021-06-16
158,동네체육시설,송정2동 쉼터동네체육시설,광주광역시 광산구 송정로15번길 51(소공원 쉼터),동네체육시설,2015-10-13,2021-06-16
159,동네체육시설,신흥동(대주@옆) 동네체육시설,광주광역시 광산구 신흥동 826-11,동네체육시설,2013-12-18,2021-06-16
160,동네체육시설,신흥동(대주@옆) 동네체육시설,광주광역시 광산구 신흥동 826-11,동네체육시설,2014-02-04,2021-06-16
161,동네체육시설,신흥동(대주@옆) 동네체육시설,광주광역시 광산구 신흥동 826-11,동네체육시설,2019-06-07,2021-06-16
162,동네체육시설,송정IC(신촌동) 동네체육시설1,광주광역시 광산구 신촌동1014-8,동네체육시설,2006-01-20,2021-06-16
163,동네체육시설,진곡경로당 동네체육시설,광주광역시 광산구 진곡동 196번지,동네체육시설,2017-05-06,2021-06-16
164,동네체육시설,신등원정 경로당 동네체육시설,광주광역시 광산구 등임동 9-1,동네체육시설,2018-01-29,2021-06-16
165,동네체육시설,임곡 등임경로당 동네체육시설,광주광역시 광산구 등임동 413-1,동네체육시설,2017-08-21,2021-06-16
166,동네체육시설,원산막마을 동네체육시설,광주광역시 광산구 산막동 92번지,동네체육시설,2017-05-06,2021-06-16
167,동네체육시설,비시동마을 동네체육시설,광주광역시 광산구 두정동 563-3,동네체육시설,2017-04-13,2021-06-16
168,동네체육시설,두정마을 동네체육시설,광주광역시 광산구 두정동 222-2,동네체육시설,2017-04-13,2021-06-16
169,동네체육시설,임곡동가정마을 동네체육시설,광주광역시 광산구 임곡 가정길 293-1,동네체육시설,2016-02-01,2021-06-16
170,동네체육시설,임곡동 성내마을,광주광역시 광산구 임곡동 130-13,동네체육시설,2016-10-28,2021-06-16
171,동네체육시설,성내경로당 동네체육시설,광주광역시 광산구 임곡동 152-1,동네체육시설,2019-06-07,2021-06-16
172,동네체육시설,임곡중 동네체육시설,광주광역시 광산구 임곡동 783-1 (임곡중학교),동네체육시설,1997-10-27,2021-06-16
173,동네체육시설,연계마을 동네체육시설,광주광역시 광산구 광산동 664-31,동네체육시설,2018-01-29,2021-06-16
174,동네체육시설,임곡동 와산마을 동네체육시설,광주광역시 광산구 오산동 790-3번지,동네체육시설,2015-07-21,2021-06-16
175,동네체육시설,본량동 맥동마을,광주광역시 광산구 선동 220-11,동네체육시설,2016-09-08,2021-06-16
176,동네체육시설,본량동 입석마을 동네체육시설,광주광역시 광산구 산수동 219,동네체육시설,2017-08-30,2021-06-16
177,동네체육시설,본량동 감동마을,광주광역시 광산구 산수동 325-4,동네체육시설,2016-09-08,2021-06-16
178,동네체육시설,본량지동마을 동네체육시설,광주광역시 광산구 지산동 141-4,동네체육시설,2016-01-19,2021-06-16
179,동네체육시설,본량신당 동네체육시설,광주광역시 광산구 송치동  186-31,동네체육시설,2016-01-19,2021-06-16
180,동네체육시설,본량동 금치마을,광주광역시 광산구 송치동 434-1,동네체육시설,2016-09-08,2021-06-16
181,동네체육시설,본량 왕동 용진산 동네체육시설,광주광역시 광산구 왕동 3-4,동네체육시설,1992-11-27,2021-06-16
182,동네체육시설,임곡 사호동 용진산 동네체육시설,광주광역시 광산구 사호동 582-1(583),동네체육시설,1992-11-27,2021-06-16
183,동네체육시설,남산경로당 동네체육시설,광주광역시 광산구 남산동 385-2,동네체육시설,2015-12-11,2021-06-16
184,동네체육시설,남산동 660-1 동네체육시설,광주광역시 광산구 남산동 660-1,동네체육시설,2018-01-29,2021-06-16
185,동네체육시설,본량동 금동마을 동네체육시설,광주광역시 광산구 본량동 920-1,동네체육시설,2017-08-23,2021-06-16
186,동네체육시설,본량 양곡마을 동네체육시설,광주광역시 광산구 양산동436번지,동네체육시설,2017-09-15,2021-06-16
187,동네체육시설,본량동 원동마을,광주광역시 광산구 동림동 656-1,동네체육시설,2016-09-08,2021-06-16
188,동네체육시설,어룡동 운수마을,광주광역시 광산구 운수동  83-2,동네체육시설,2016-10-28,2021-06-16
189,동네체육시설,선암마을 동네체육시설,광주광역시 광산구 선암동 356-3,동네체육시설,2010-02-05,2021-06-16
190,동네체육시설,선암마을 동네체육시설,광주광역시 광산구 선암동 356-3,동네체육시설,2013-03-13,2021-06-16
191,동네체육시설,선암마을 동네체육시설,광주광역시 광산구 선암동 356-3,동네체육시설,2017-08-22,2021-06-16
192,동네체육시설,중보마을 동네체육시설,광주광역시 광산구 선암동 54-8,동네체육시설,2009-12-01,2021-06-16
193,동네체육시설,평동 송촌마을 동네체육시설,광주광역시 광산구 송촌동 174-1번지,동네체육시설,2014-12-09,2021-06-16
194,동네체육시설,평동 장록마을 동네체육시설,광주광역시 광산구 장록동 170-10,동네체육시설,2014-12-09,2021-06-16
195,동네체육시설,평동 지로마을 동네체육시설,광주광역시 광산구 지죽동 410-2,동네체육시설,2017-07-14,2021-06-16
196,동네체육시설,평동근린공원 동네체육시설,광주광역시 광산구 옥동 1242-2 (평동근린공원),동네체육시설,2009-02-10,2021-06-16
197,동네체육시설,평동역 동네체육시설,광주광역시 광산구 월전동 51-23,동네체육시설,2018-01-29,2021-06-16
198,동네체육시설,복룡동 569-1 동네체육시설,광주광역시 광산구 복룡동 569-1(하천부지),동네체육시설,2018-01-29,2021-06-16
199,동네체육시설,동곡 유계동 동네체육시설,광주광역시 광산구 유계동 240-9,동네체육시설,1997-01-31,2021-06-16
