시설명,소재지도로명주소,면적,조성일자,이용시설현황,데이터기준일자
계림동 두산위브 104동 뒤편,광주광역시 동구 무등로 374,82 ,2020-08-17,체력단력기구,2020-08-14
선동마을 입구 정자 옆 공터,광주광역시 동구 선교동 472-24,15 ,2020-12-17,체력단력기구,2020-08-14
동명동 작은공연장 주변,광주광역시 동구 동명동 92-9,20 ,2020-12-17,체력단력기구,2020-08-14
동명동 새마을금고 지하 1층,광주광역시 동구 필문대로 277,15 ,2020-02-18,체력단력기구,2020-08-14
서석교회,광주광역시 동구 백서로 232,10 ,2020-04-18,체력단력기구,2020-08-14
두암근린공원,광주광역시 동구 갈마로 68,20 ,2020-04-18,체력단력기구,2020-08-14
계림경로당 앞 공용주차장,광주광역시 동구 계림동 554-1,30 ,2020-04-18,체력단력기구,2020-08-14
산수2동 공용주차장,광주광역시 동구 산수동 511-35외 2필지 내,15 ,2020-05-15,체력단력기구,2020-08-14
장원봉 중재,광주광역시 동구 산수동 산 50-1,800 ,1992-09-01,체력단력기구,2020-08-14
꾀재,광주광역시 동구 산수동 산 59,1850 ,1992-09-01,체력단력기구,2020-08-14
구와산 정상,광주광역시 동구 지산동 산3,400 ,1992-09-01,체력단력기구,2020-08-14
운림동 무등파크 뒷산,광주광역시 동구 운림동 57,150 ,1992-11-01,체력단력기구,2020-08-14
깃대봉,광주광역시 동구 서석동 산 54,1500 ,1993-01-01,체력단력기구,2020-08-14
팔각정 중간쉼터,광주광역시 동구 학동 산35-1,100 ,1993-01-01,체력단력기구,2020-08-14
소태동 자주등,광주광역시 동구 소태동 산 20-1,330 ,2000-02-01,체력단력기구,2020-08-14
소태동 정수장 뒷산,광주광역시 동구 소태동 산17-1,300 ,1993-12-01,체력단력기구,2020-08-14
학동 현대아파트 뒷산,광주광역시 동구 학동 산80-1,100 ,2000-04-01,체력단력기구,2020-08-14
운림동 라인아파트 뒷산,광주광역시 동구 운림동 산 2-1외,150 ,2000-10-01,체력단력기구,2020-08-14
소태동 통일동산,광주광역시 동구 소태동 산8,150 ,2020-01-04,체력단력기구,2020-08-14
용산약수터,광주광역시 동구 용산동 산42,150 ,2020-01-04,체력단력기구,2020-08-14
산수동 무등파크 뒷산,광주광역시 동구 산수동 7-4외 ,300 ,2020-05-05,체력단력기구,2020-08-14
용산동 제석산,광주광역시 동구 용산동 산73,100 ,2020-02-09,체력단력기구,2020-08-14
동적골 산책로,광주광역시 동구 운림동 산 245외,780 ,2020-12-05,체력단력기구,2020-08-14
너릿재 체육쉼터,광주광역시 동구 선교동 산185,410 ,2020-12-08,체력단력기구,2020-08-14
쌍정자,광주광역시 동구 학동 산52,24 ,2020-05-09,체력단력기구,2020-08-14
지원1동 소태골산책로,광주광역시 동구 소태동 산173,40 ,2020-09-14,체력단력기구,2020-08-14
너릿재 공원,광주광역시 동구 선교동 482,9920 ,1993-12-01,체력단력기구,2020-08-14
산수공원,광주광역시 동구 경양로 355,602 ,2020-12-01,체력단력기구,2020-08-14
남광주 천변,광주광역시 동구 학동 1003-1,5280 ,1999-02-01,체력단력기구,2020-08-14
지원동 진아하이빌,광주광역시 동구 학소로42번길12,15 ,2020-01-01,체력단력기구,2020-08-14
지원동 선교경로당,광주광역기 동구 선교로77-6,10 ,2020-01-01,체력단력기구,2020-08-14
서남동 주민센터,광주광역시 동구 백서로175번길 15,30 ,2020-01-01,체력단력기구,2020-08-14
학운동 천사제가옆 소공원,광주광역시 동구 학동 793-9,10 ,2020-01-01,체력단력기구,2020-08-14
성촌마을,광주광여시 동구 운림동344-3,10 ,2020-01-01,체력단력기구,2020-08-14
소태동 진아하이빌 1차,광주광역시 동구 학소로 65,10 ,2020-01-01,체력단력기구,2020-08-14
산수동 신양맨션,광주광역시 동구 필문대로123번길 5-8,10 ,2020-01-01,체력단력기구,2020-08-14
